
TYPE	EXAMPLE-SENTENCE	TRANSLATION	LEXVAL-of-main-verb-in-example	NUMBER-of-LEXVALS-with-TYPE	COMMENTS
					
copAdj	dette blir hyggelig	this will be nice	bli__copAdj	2	
copAdj-suDECL	at det etableres en god praksis blir avgjørende	that a good practice gets established is decisive	bli__copAdj-suDECL	2	
copAdj-suINTERR	hvem som vinner blir avgjørende	who wins will be decisive	bli__copAdj-suINTERR	2	
copAdv	hun blir her	she remains here	bli__copAdv	2	
copExpnAdj-expnAbsinf	det er hyggelig å løpe maraton	it is nice to run marathon	være__copExpnAdj-expnAbsinf	2	
copExpnAdj-expnDECL	det er hyggelig at hun vant	it is nice that she won	være__copExpnAdj-expnDECL	2	
copExpnAdj-expnINTERRwh	det er uvisst hvem som vinner	it is uncertain who will win	være__copExpnAdj-expnINTERRwh	2	
copExpnAdj-expnINTERRyn	det er uvisst om hun vinner	it is uncertain whether she will win	være__copExpnAdj-expnINTERRyn	2	
copExpnN-expnAbsinf	det blir en ære å motta gjesteforskerinvitasjoner	it becomes an honor to receive guest researcher invitations	bli__copExpnN-expnAbsinf	2	
copExpnN-expnDECL	det blir en ære at dere inviterer meg	it becomes an honor that you invite me	bli__copExpnN-expnDECL	2	
copExpnN-expnINTERRwh	det blir et hovedspørsmål hvem som snakker	it becomes a main theme who talks	bli__copExpnN-expnINTERRwh	2	
copExpnN-expnINTERRyn	det blir et hovedspørsmål om han fortsetter	it becomes a main theme if he continues	bli__copExpnN-expnINTERRyn	2	
copExpnPP-expnDECL	det blir under tvil at han fortsetter	it will be under doubt that he continues	bli__copExpnPP-expnDECL	2	
copExpnPP-expnINTERRyn	det blir under kontinuerlig vurdering om han fortsetter i stillingen	it will be under continued consideration whether he continues in the position	bli__copExpnPP-expnINTERRyn	2	
copIdAbsinf	en slik avtale blir å avbryte samarbeidet	such a deal will be to discontinue the cooperation	bli__copIdAbsinf	2	
copIdAbsinf-suAbsinf	å inngå en slik avtale blir å avbryte samarbeidet	to enter into such a deal will be to discontinue the cooperation	bli__copIdAbsinf-suAbsinf	2	
copIdDECL	innholdet i avtalen blir at vi frastår eiendommen	the content of the deal will be that we relinquish the property	bli__copIdDECL	2	
copIdINTERRwh	spørsmålet blir hvem som kommer	the question will be who comes	bli__copIdINTERRwh	2	
copIdINTERRyn	spørsmålet blir om han kommer	the question will be whether he comes	bli__copIdINTERRyn	2	
copIdN	han blir den nye representanten	he becomes the new representative	bli__copIdN	3	
copImpersAdjLoc	det er fint i Finnmark	it is fine in Finnmark	være__copImpersAdjLoc	2	
copN	han er bonde	he is a farmer	være__copN	5	
copN-suAbsinf	å inngå denne avtalen er en skandale	to enter this deal is a scandal	være__copN-suAbsinf	2	
copN-suDECL	at han får komme er en skandale	that he is eligible for coming is a scandal	være__copN-suDECL	2	
copN-suINTERRwh	hvem som vinner er et spørsmål	who will win is a question	være__copN-suINTERRwh	2	
copN-suINTERRyn	om han vinner er et spørsmål	whether he will win is a question	være__copN-suINTERRyn	2	
copPP	hun er i Finnmark	she is in Finnmark	være__copPP	2	
copPP-suDECL	at han får komme er under sterk tvil	that he gets admitted is under strong doubt	være__copPP-suDECL	2	
copPredprtcl	hun er som en ninja	she is like a ninja	være__copPredprtcl	2	
copPrtcl	de parallelle verdener er til	the parallel worlds exist	være-til__copPrtcl	4	added 2022
copToFind	han er å treffe på strandeiendommen	he is to be met with at the beach property	være__copToFind	2	
copToughAdj	han er hyggelig å snakke med	he is pleasant to talk with	være__copToughAdj	2	
ditr	de yter oss kompensasjon	they provide us compensation	yte__ditr	161	
ditr-iobRefl	hun lager seg en modell	she makes herself a model	lage__ditr-iobRefl	85	
ditr-iobRefl-obDECL	hun merker seg at du kommer	he notesR that you are coming	merke__ditr-iobRefl-obDECL	12	
ditr-iobRefl-obEqIobInf	hun motsetter seg å skulle åpne paraden	she resistsR to have to open the parade	motsette__ditr-iobRefl-obEqIobInf	12	
ditr-iobRefl-obINTERR	han undrer seg om vi kommer	he wondersR whether we are coming	undre__ditr-iobRefl-obINTERR	9	
ditr-obDECL	hun tilgir oss at vi forløp oss	she forgives us that we made a faux pas	tilgi__ditr-obDECL	28	
ditr-obEqIobBareinf	hun ber dem komme	she asksI them to come	be__ditr-obEqIobBareinf	2	
ditr-obEqIobInf	jeg befaler deg å gå	I order you to go	befale__ditr-obEqIobInf	33	
ditr-obEqSuInf	hun garanterer dem å bidra	she guarantees them to contribute	garantere__ditr-obEqSuInf	4	
ditr-obINTERR	instrumentet viser oss om det blir væromslag	the instrument tells us whether there will be a weather change	vise__ditr-obINTERRyn	13	
ditr-suDECL	at saken gjenåpnes gir oss mot	that the case is reopened gives us courage	gi__ditr-suDECL	7	ADD: antyde, indikere, avsløre
ditr-suDECL-obDECL	at de er så ekstra vennlige viser oss at de har baktanker	that they are so utterly friendly shows us that they have back-thoughts	vise__ditr-suDECL-obDECL	3	ADD: antyde, indikere, avsløre
ditr-suDECL-obINTERR	at de er så ekstra vennlige viser oss hvor pengene kommer fra	that they are so friendly shows us where the money comes from	vise__ditr-suDECL-obINTERR	1	ADD: fortelle, si, antyde, indikere, avsløre
ditr-suEqIobInf	å si slikt frarøver politikeren respekten	to say such things deprivesP the politician of his respect	frarøve__ditr-suEqIobInf	2	
